Name: “Table 1 of 1 on page 29 of 80”,Name: “Table 1 of 1 on page 29 of 80”,Name: “Table 1 of 1 on page 29 of 80”,Name: “Table 1 of 1 on page 29 of 80”,Name: “Table 1 of 1 on page 29 of 80”,Name: “Table 1 of 1 on page 29 of 80”,Name: “Table 1 of 1 on page 29 of 80”,Name: “Table 1 of 1 on page 29 of 80”,Name: “Table 1 of 1 on page 29 of 80”,Name: “Table 1 of 1 on page 29 of 80”,Name: “Table 1 of 1 on page 29 of 80”,Name: “Table 1 of 1 on page 29 of 80”,Name: “Table 1 of 1 on page 29 of 80”,Name: “Table 1 of 1 on page 29 of 80”,Name: “Table 1 of 1 on page 29 of 80”,Name: “Table 1 of 1 on page 29 of 80”,Name: “Table 1 of 1 on page 29 of 80”,Name: “Table 1 of 1 on page 29 of 80”,Name: “Table 1 of 1 on page 29 of 80”
Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29
,,,,,,,,,,,,,,,,,,
OMB NO. 1810-0614,OMB NO. 1810-0614,OMB NO. 1810-0614,OMB NO. 1810-0614,OMB NO. 1810-0614,,,,,,,,,,,,,Page 29,Page 29
1.4,SCHOOL AND D ISTRICT ACCOUNTABILITY,SCHOOL AND D ISTRICT ACCOUNTABILITY,SCHOOL AND D ISTRICT ACCOUNTABILITY,SCHOOL AND D ISTRICT ACCOUNTABILITY,SCHOOL AND D ISTRICT ACCOUNTABILITY,SCHOOL AND D ISTRICT ACCOUNTABILITY,SCHOOL AND D ISTRICT ACCOUNTABILITY,,,,,,,,,,,
This section collects data on the Adequate Yearly Progress (AYP) status of schools and districts.,This section collects data on the Adequate Yearly Progress (AYP) status of schools and districts.,This section collects data on the Adequate Yearly Progress (AYP) status of schools and districts.,This section collects data on the Adequate Yearly Progress (AYP) status of schools and districts.,This section collects data on the Adequate Yearly Progress (AYP) status of schools and districts.,This section collects data on the Adequate Yearly Progress (AYP) status of schools and districts.,This section collects data on the Adequate Yearly Progress (AYP) status of schools and districts.,This section collects data on the Adequate Yearly Progress (AYP) status of schools and districts.,This section collects data on the Adequate Yearly Progress (AYP) status of schools and districts.,This section collects data on the Adequate Yearly Progress (AYP) status of schools and districts.,This section collects data on the Adequate Yearly Progress (AYP) status of schools and districts.,This section collects data on the Adequate Yearly Progress (AYP) status of schools and districts.,This section collects data on the Adequate Yearly Progress (AYP) status of schools and districts.,This section collects data on the Adequate Yearly Progress (AYP) status of schools and districts.,This section collects data on the Adequate Yearly Progress (AYP) status of schools and districts.,,,,
1.4.1 All Schools and Districts Accountability,1.4.1 All Schools and Districts Accountability,1.4.1 All Schools and Districts Accountability,1.4.1 All Schools and Districts Accountability,1.4.1 All Schools and Districts Accountability,1.4.1 All Schools and Districts Accountability,1.4.1 All Schools and Districts Accountability,1.4.1 All Schools and Districts Accountability,1.4.1 All Schools and Districts Accountability,,,,,,,,,,
In,the,table,"below,",provide,the,total,number,of,public,elementary,and,secondary,schools,and,districts,in,the,"State,"
"including charters, and the total number of those schools and districts that made AYP based on data for SY 2010-11. The","including charters, and the total number of those schools and districts that made AYP based on data for SY 2010-11. The","including charters, and the total number of those schools and districts that made AYP based on data for SY 2010-11. The","including charters, and the total number of those schools and districts that made AYP based on data for SY 2010-11. The","including charters, and the total number of those schools and districts that made AYP based on data for SY 2010-11. The","including charters, and the total number of those schools and districts that made AYP based on data for SY 2010-11. The","including charters, and the total number of those schools and districts that made AYP based on data for SY 2010-11. The","including charters, and the total number of those schools and districts that made AYP based on data for SY 2010-11. The","including charters, and the total number of those schools and districts that made AYP based on data for SY 2010-11. The","including charters, and the total number of those schools and districts that made AYP based on data for SY 2010-11. The","including charters, and the total number of those schools and districts that made AYP based on data for SY 2010-11. The","including charters, and the total number of those schools and districts that made AYP based on data for SY 2010-11. The","including charters, and the total number of those schools and districts that made AYP based on data for SY 2010-11. The","including charters, and the total number of those schools and districts that made AYP based on data for SY 2010-11. The","including charters, and the total number of those schools and districts that made AYP based on data for SY 2010-11. The","including charters, and the total number of those schools and districts that made AYP based on data for SY 2010-11. The","including charters, and the total number of those schools and districts that made AYP based on data for SY 2010-11. The","including charters, and the total number of those schools and districts that made AYP based on data for SY 2010-11. The","including charters, and the total number of those schools and districts that made AYP based on data for SY 2010-11. The"
percentage that made AYP will be calculated automatically.,percentage that made AYP will be calculated automatically.,percentage that made AYP will be calculated automatically.,percentage that made AYP will be calculated automatically.,percentage that made AYP will be calculated automatically.,percentage that made AYP will be calculated automatically.,percentage that made AYP will be calculated automatically.,percentage that made AYP will be calculated automatically.,percentage that made AYP will be calculated automatically.,percentage that made AYP will be calculated automatically.,,,,,,,,,
,,,,,,,Total # that Made AYP,Total # that Made AYP,Total # that Made AYP,Total # that Made AYP,,,Percentage that Made,Percentage that Made,Percentage that Made,Percentage that Made,,
