Name: “Table 1 of 1 on page 51 of 80”,Name: “Table 1 of 1 on page 51 of 80”,Name: “Table 1 of 1 on page 51 of 80”
Table: 51,Table: 51,Table: 51
,,
OMB NO. 1810-0614,Page 49,Page 49
1.6.3 Student Performance Data,,
"This section collects data on LEP students' English language proficiency, as required by Sections 1111(h)(4)(D) and 3121","This section collects data on LEP students' English language proficiency, as required by Sections 1111(h)(4)(D) and 3121","This section collects data on LEP students' English language proficiency, as required by Sections 1111(h)(4)(D) and 3121"
(a)(2).,,
1.6.3.1.1 All LEP Students Tested on the State Annual English Language Proficiency Assessment,,
"In the table below, please provide the number of ALL LEP students tested and not tested on annual State English",,
language proficiency (ELP) assessment (as defined in 1.6.2.1).,,
,,#
Number tested on State annual ELP assessment,,"97,033"
Number not tested on State annual ELP assessment,,0
Total,,"97,033"
Comments:,,
1.6.3.1.2 ALL LEP Student English Language Proficiency Results,,
,,#
Number attained proficiency on State annual ELP assessment,"13,493",
Percent attained proficiency on State annual ELP assessment,,13.9
Comments:,,
