Name: “Table 1 of 1 on page 11 of 80”,Name: “Table 1 of 1 on page 11 of 80”,Name: “Table 1 of 1 on page 11 of 80”
Table: 11,Table: 11,Table: 11
,,
OMB NO. 1810-0614,,Page 11
1.2.2 Participation of Students with Disabilities in Mathematics Assessment,1.2.2 Participation of Students with Disabilities in Mathematics Assessment,
"In the table below, provide the number of children with disabilities (IDEA) participating during the State's testing window in","In the table below, provide the number of children with disabilities (IDEA) participating during the State's testing window in","In the table below, provide the number of children with disabilities (IDEA) participating during the State's testing window in"
mathematics assessments required under Section 1111(b)(3) of ESEA (regardless of whether the children were present for,mathematics assessments required under Section 1111(b)(3) of ESEA (regardless of whether the children were present for,mathematics assessments required under Section 1111(b)(3) of ESEA (regardless of whether the children were present for
a full academic year) by the type of assessment. The percentage of children with disabilities (IDEA) who participated in the,a full academic year) by the type of assessment. The percentage of children with disabilities (IDEA) who participated in the,a full academic year) by the type of assessment. The percentage of children with disabilities (IDEA) who participated in the
mathematics assessment for each assessment option will be calculated automatically. The total number of children with,mathematics assessment for each assessment option will be calculated automatically. The total number of children with,mathematics assessment for each assessment option will be calculated automatically. The total number of children with
disabilities (IDEA) participating will also be calculated automatically.,disabilities (IDEA) participating will also be calculated automatically.,
The data provided below should include mathematics participation data from all students with disabilities as defined under,The data provided below should include mathematics participation data from all students with disabilities as defined under,The data provided below should include mathematics participation data from all students with disabilities as defined under
the Individuals with Disabilities Education Act(IDEA). Do not include former students with disabilities (IDEA). Do not,the Individuals with Disabilities Education Act(IDEA). Do not include former students with disabilities (IDEA). Do not,the Individuals with Disabilities Education Act(IDEA). Do not include former students with disabilities (IDEA). Do not
include students only covered under Section 504 of the Rehabilitation Act of 1973.,include students only covered under Section 504 of the Rehabilitation Act of 1973.,
,# Children with,Percentage of Children with Disabilities
,Disabilities (IDEA),"(IDEA) Participating, Who Took the"
Type of Assessment,Participating,Specified Assessment
Regular Assessment without Accommodations,"35,903",37.5
Regular Assessment with Accommodations,"45,696",47.7
Alternate Assessment Based on Grade-Level,,
Achievement Standards,"6,889",7.2
Alternate Assessment Based on Modified,,
Achievement Standards,,
Alternate Assessment Based on Alternate,,
Achievement Standards,"7,265",7.6
Total,"95,753",
Comments:,,
