Name: “Table 1 of 1 on page 9 of 12”,Name: “Table 1 of 1 on page 9 of 12”,Name: “Table 1 of 1 on page 9 of 12”,Name: “Table 1 of 1 on page 9 of 12”,Name: “Table 1 of 1 on page 9 of 12”,Name: “Table 1 of 1 on page 9 of 12”,Name: “Table 1 of 1 on page 9 of 12”,Name: “Table 1 of 1 on page 9 of 12”
Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9
,,,,,,,
Number of Property Offenses and Arrests Reported by Offense Type and Month,Number of Property Offenses and Arrests Reported by Offense Type and Month,Number of Property Offenses and Arrests Reported by Offense Type and Month,Number of Property Offenses and Arrests Reported by Offense Type and Month,Number of Property Offenses and Arrests Reported by Offense Type and Month,Number of Property Offenses and Arrests Reported by Offense Type and Month,Number of Property Offenses and Arrests Reported by Offense Type and Month,
"(Through December), 2010 and 2011","(Through December), 2010 and 2011",,,,,,
"Data Source: IBR electronic data files, compiled by Virginia Department of State Police","Data Source: IBR electronic data files, compiled by Virginia Department of State Police","Data Source: IBR electronic data files, compiled by Virginia Department of State Police","Data Source: IBR electronic data files, compiled by Virginia Department of State Police",,,,
"Produced by: Department of Criminal Justice Services Criminal Justice Research Center, http://www.dcjs.virginia.gov/research/","Produced by: Department of Criminal Justice Services Criminal Justice Research Center, http://www.dcjs.virginia.gov/research/","Produced by: Department of Criminal Justice Services Criminal Justice Research Center, http://www.dcjs.virginia.gov/research/","Produced by: Department of Criminal Justice Services Criminal Justice Research Center, http://www.dcjs.virginia.gov/research/","Produced by: Department of Criminal Justice Services Criminal Justice Research Center, http://www.dcjs.virginia.gov/research/","Produced by: Department of Criminal Justice Services Criminal Justice Research Center, http://www.dcjs.virginia.gov/research/","Produced by: Department of Criminal Justice Services Criminal Justice Research Center, http://www.dcjs.virginia.gov/research/",
All 2011 counts presented here are preliminary and will be finalized March 2012,All 2011 counts presented here are preliminary and will be finalized March 2012,All 2011 counts presented here are preliminary and will be finalized March 2012,All 2011 counts presented here are preliminary and will be finalized March 2012,,,,
,,Motor Vehicle Theft,Motor Vehicle Theft,,,,
Motor Vehicle Theft Offenses,Motor Vehicle Theft Offenses,,Motor Vehicle Theft Arrests,Motor Vehicle Theft Arrests,,,
"1,200",,120,,,,,
"1,000",,100,,,,,
800,,80,,,,,
600,,60,,,,,
400,,40,,,,,
200,,20,,,,,
0,,0,,,,,
Jan Feb Mar Apr May Jun,Jul,Aug Sep Oct Nov Dec,Jan,Feb Mar Apr May Jun,Jul,Aug Sep,Oct Nov Dec
2010,,2011,,2010,,2011,
2010 total:,"10,393",,,2010 total:,2010 total:,"1,051",
2011 total:,"9,413",,,2011 total:,2011 total:,974,
Percent change:,-9.4%,,,Percent change:,Percent change:,-7.3%,
,,Fraud,,,,,
Fraud Offenses,,,Fraud Arrests,,,,
,,450,,,,,
"2,000",,400,,,,,
,,350,,,,,
"1,500",,300,,,,,
,,250,,,,,
"1,000",,200,,,,,
,,150,,,,,
500,,100,,,,,
,,50,,,,,
0,,0,,,,,
Jan Feb Mar Apr May Jun,Jul,Aug Sep Oct Nov Dec,Jan,Feb Mar Apr May Jun,Jul,Aug Sep,Oct Nov Dec
2010,,2011,,2010,,2011,
2010 total:,"24,544",,,2010 total:,2010 total:,"4,702",
2011 total:,"24,667",,,2011 total:,2011 total:,"4,364",
Percent change:,+0.5%,,,Percent change:,Percent change:,-7.2%,
,,8 of 10,8 of 10,,,,2/2012
