Name: “Table 1 of 1 on page 27 of 31”,Name: “Table 1 of 1 on page 27 of 31”,Name: “Table 1 of 1 on page 27 of 31”,Name: “Table 1 of 1 on page 27 of 31”,Name: “Table 1 of 1 on page 27 of 31”,Name: “Table 1 of 1 on page 27 of 31”,Name: “Table 1 of 1 on page 27 of 31”,Name: “Table 1 of 1 on page 27 of 31”,Name: “Table 1 of 1 on page 27 of 31”
Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27
,,,,,,,,
"Appendix C – Virginia Drug Arrest Rate and Ranking by Locality,","Appendix C – Virginia Drug Arrest Rate and Ranking by Locality,","Appendix C – Virginia Drug Arrest Rate and Ranking by Locality,","Appendix C – Virginia Drug Arrest Rate and Ranking by Locality,","Appendix C – Virginia Drug Arrest Rate and Ranking by Locality,","Appendix C – Virginia Drug Arrest Rate and Ranking by Locality,","Appendix C – Virginia Drug Arrest Rate and Ranking by Locality,","Appendix C – Virginia Drug Arrest Rate and Ranking by Locality,",
2000 and 2009  Source:  DCJS,2000 and 2009  Source:  DCJS,2000 and 2009  Source:  DCJS,,,,,,
,,,,,,,,
"Overall Rank:  1=highest arrest rate statewide, 134=lowest arrest rate statewide","Overall Rank:  1=highest arrest rate statewide, 134=lowest arrest rate statewide","Overall Rank:  1=highest arrest rate statewide, 134=lowest arrest rate statewide","Overall Rank:  1=highest arrest rate statewide, 134=lowest arrest rate statewide","Overall Rank:  1=highest arrest rate statewide, 134=lowest arrest rate statewide","Overall Rank:  1=highest arrest rate statewide, 134=lowest arrest rate statewide","Overall Rank:  1=highest arrest rate statewide, 134=lowest arrest rate statewide",,
(Note: 2000 rank includes city of Clifton Forge; rank 135 will be lowest 2000 overall ranking.  Clifton Forge reverted to town status in 2001).,(Note: 2000 rank includes city of Clifton Forge; rank 135 will be lowest 2000 overall ranking.  Clifton Forge reverted to town status in 2001).,(Note: 2000 rank includes city of Clifton Forge; rank 135 will be lowest 2000 overall ranking.  Clifton Forge reverted to town status in 2001).,(Note: 2000 rank includes city of Clifton Forge; rank 135 will be lowest 2000 overall ranking.  Clifton Forge reverted to town status in 2001).,(Note: 2000 rank includes city of Clifton Forge; rank 135 will be lowest 2000 overall ranking.  Clifton Forge reverted to town status in 2001).,(Note: 2000 rank includes city of Clifton Forge; rank 135 will be lowest 2000 overall ranking.  Clifton Forge reverted to town status in 2001).,(Note: 2000 rank includes city of Clifton Forge; rank 135 will be lowest 2000 overall ranking.  Clifton Forge reverted to town status in 2001).,(Note: 2000 rank includes city of Clifton Forge; rank 135 will be lowest 2000 overall ranking.  Clifton Forge reverted to town status in 2001).,
,,,,,,,,
"County Rank:  1=highest arrest rate among counties, 95=lowest arrest rate among the 95 counties","County Rank:  1=highest arrest rate among counties, 95=lowest arrest rate among the 95 counties","County Rank:  1=highest arrest rate among counties, 95=lowest arrest rate among the 95 counties","County Rank:  1=highest arrest rate among counties, 95=lowest arrest rate among the 95 counties","County Rank:  1=highest arrest rate among counties, 95=lowest arrest rate among the 95 counties","County Rank:  1=highest arrest rate among counties, 95=lowest arrest rate among the 95 counties","County Rank:  1=highest arrest rate among counties, 95=lowest arrest rate among the 95 counties","County Rank:  1=highest arrest rate among counties, 95=lowest arrest rate among the 95 counties",
,,,,,,,,
Counties (continued),Counties (continued),,,,,,,
,,,,,2000,2009,2000,2009
,,,2000,2009,Overall,Overall,County,County
,FIPS,Locality,Rate,Rate,Rank,Rank,Rank,Rank
,099,King George Co,260.4,443.9,89,62,52,32
,,,,,,,,
,101,King William Co,398.9,357.7,56,81,27,49
,103,Lancaster Co,256.7,186.0,90,118,53,80
,105,Lee Co,230.8,429.3,95,67,57,36
,107,Loudoun Co,218.8,297.7,99,95,60,61
,109,Louisa Co,282.0,237.4,85,103,49,69
,111,Lunenburg Co,297.2,610.7,80,38,45,14
,113,Madison Co,363.8,90.4,64,133,32,94
,115,Mathews Co,565.8,671.4,30,35,10,11
,117,Mecklenburg Co,201.5,377.7,103,77,64,45
,119,Middlesex Co,353.8,496.0,67,55,35,26
,121,Montgomery Co,331.5,338.0,71,86,39,54
,,,,,,,,
,125,Nelson Co,217.5,187.6,100,116,61,79
,127,New Kent Co,432.6,683.1,51,33,22,10
,131,Northampton Co,855.3,390.5,15,73,4,41
,,,,,,,,
,133,Northumberland Co,233.9,226.5,94,106,56,71
,135,Nottoway Co,338.4,446.0,70,61,38,31
,137,Orange Co,220.1,190.2,98,115,59,78
,139,Page Co,107.9,431.2,127,64,87,34
,141,Patrick Co,455.5,420.3,47,70,19,39
,143,Pittsylvania Co,161.5,311.1,116,92,76,58
,145,Powhatan Co,174.0,278.0,112,99,72,65
,147,Prince Edward Co,204.0,193.1,102,114,63,77
,149,Prince George Co,344.1,288.8,68,96,36,62
,153,Prince William Co,619.3,634.7,27,36,8,12
,155,Pulaski Co,417.0,572.8,55,46,26,19
,,,,,,,,
,157,Rappahannock Co,241.5,430.1,93,65,55,35
,159,Richmond Co,174.3,173.4,111,121,71,82
,161,Roanoke Co,228.6,574.2,97,45,58,18
,163,Rockbridge Co,790.7,492.4,17,56,5,27
,165,Rockingham Co,341.7,222.3,69,107,37,72
,167,Russell Co,92.6,578.0,129,44,89,17
,169,Scott Co,153.3,793.9,119,20,79,4
,171,Shenandoah Co,751.2,782.9,19,23,6,6
,173,Smyth Co,465.1,775.3,45,24,18,7
,175,Southampton Co,470.7,180.7,44,119,17,81
,177,Spotsylvania Co,362.7,628.6,65,37,33,13
,,,,,,,,
,179,Stafford Co,711.8,709.3,22,29,7,9
,181,Surry Co,250.5,94.2,92,131,54,92
,183,Sussex Co,453.8,"1,245.0",48,6,20,1
,185,Tazewell Co,282.9,572.0,84,47,48,20
,187,Warren Co,180.6,898.9,108,16,68,3
,191,Washington Co,98.7,452.1,128,60,88,30
,193,Westmoreland Co,357.8,114.7,66,130,34,91
,195,Wise Co,200.7,239.6,105,102,66,68
,197,Wythe Co,376.5,567.5,61,48,30,21
,199,York Co,487.5,580.3,41,43,15,16
,,,,,,,,
,,,,25 of 29,,,,Virginia Crime Trends 2000-2009
,,,,,,,,www.dcjs.virginia.gov/research
